nome_;genero_;desenvolvedor_;lancamento_;plataformas_
Hollow Knight Chronicles;Esporte;FromSoftware;2019;PlayStation 5
Cyberpunk Reborn;Battle Royale;Supercell;2001;Nintendo Switch
Grand Theft Auto Saga;Ação;Square Enix;2022;PlayStation
Minecraft Odyssey;Esporte;Nintendo;1997;PlayStation 5
Elden Ring Saga;Sandbox;Activision;2006;PlayStation 2
Hades Legends;Esporte;Blizzard Entertainment;2005;Nintendo Switch
EVE Online Saga;FPS;CD Projekt Red;2008;Nintendo Switch
PUBG Adventure;Estratégia;Bungie;2014;PlayStation 2
Valorant Reborn;Estratégia;Santa Monica Studio;2003;Mobile
Assassin's Creed Infinity;FPS;Rockstar Games;1992;PlayStation 2
Assassin's Creed Legends;Sandbox;Activision;1998;PlayStation 5
Assassin's Creed Infinity;Battle Royale;FromSoftware;2004;PlayStation 5
Diablo Origins;Puzzle;FromSoftware;2004;PlayStation 5
Hades Odyssey;Puzzle;Bungie;2023;Xbox
Fortnite Origins;Estratégia;Ubisoft;2007;Xbox
Stardew Valley Reborn;Ação;Mojang;2019;PlayStation
Grand Theft Auto Legends;Puzzle;CD Projekt Red;2021;PlayStation 5
Hades Saga;Aventura;Nintendo;1999;PlayStation 5
Valorant Adventure;MMORPG;Supercell;2020;PlayStation 5
God of War Reborn;FPS;Bethesda Game Studios;1996;Mobile
Hollow Knight Odyssey;Aventura;Nintendo;2002;Xbox Series X
PUBG Origins;MMORPG;Bungie;1986;PlayStation 3
Among Us Chronicles;Corrida;Epic Games;1992;Wii U
Hollow Knight Legends;RPG;Bungie;2007;PlayStation
Minecraft Saga;Battle Royale;FromSoftware;2003;PlayStation 2
Apex Legends Origins;Puzzle;Mojang;1989;Xbox 360
EVE Online Saga;Esporte;Santa Monica Studio;2009;Xbox 360
Hades Origins;Aventura;Bungie;1985;Xbox 360
The Legend of Zelda Chronicles;RPG;CD Projekt Red;2006;Xbox 360
The Legend of Zelda Chronicles;Esporte;Activision;2020;PC
Overwatch Origins;Aventura;Activision;2014;Mobile
Elden Ring Origins;Simulação;CD Projekt Red;2005;Xbox Series X
PUBG Adventure;FPS;FromSoftware;1995;PC
Valorant Saga;Simulação;Santa Monica Studio;2023;PlayStation 3
Elden Ring Origins;RPG;Nintendo;1993;Xbox 360
The Witcher Origins;Battle Royale;Santa Monica Studio;1988;Xbox Series X
Minecraft Infinity;Sandbox;CD Projekt Red;2000;PC
Cyberpunk Reborn;Puzzle;Nintendo;2001;PlayStation 3
Minecraft Origins;Esporte;Bungie;2004;Wii U
Overwatch Infinity;Sandbox;Square Enix;2018;PlayStation
EVE Online Saga;Esporte;Square Enix;1995;Xbox 360
Fortnite Reborn;Terror;Square Enix;2003;Xbox Series X
Assassin's Creed Adventure;Esporte;Supercell;2016;PlayStation 3
Diablo Odyssey;Corrida;Bungie;2008;PlayStation 3
Fall Guys Legends;Aventura;Nintendo;1987;PlayStation
League of Legends Adventure;FPS;CD Projekt Red;1991;PlayStation
Diablo Infinity;Sandbox;Square Enix;2009;Xbox 360
Assassin's Creed Legends;RPG;Rockstar Games;2015;Wii U
Overwatch Infinity;Sandbox;Nintendo;1996;PC
The Sims Odyssey;Sandbox;Nintendo;1987;Xbox Series X
God of War Odyssey;MMORPG;Supercell;1997;Xbox 360
Call of Duty Odyssey;Estratégia;Bethesda Game Studios;2019;Mobile
Apex Legends Saga;Estratégia;Mojang;2005;PlayStation 3
Fall Guys Saga;Simulação;Bungie;2016;Xbox 360
Call of Duty Odyssey;Sandbox;Nintendo;2013;PlayStation 5
Hades Origins;Aventura;Epic Games;2001;Xbox Series X
Minecraft Legends;Corrida;Epic Games;2001;PlayStation 5
Valorant Saga;FPS;Square Enix;1995;Nintendo Switch
Elden Ring Saga;RPG;Blizzard Entertainment;2005;Wii U
League of Legends Chronicles;Corrida;Valve;1992;PC
The Legend of Zelda Adventure;Terror;Valve;2022;PlayStation 3
The Legend of Zelda Infinity;Corrida;Bethesda Game Studios;1987;Wii U
The Legend of Zelda Chronicles;MMORPG;Square Enix;2016;Xbox Series X
Hades Saga;MMORPG;Bethesda Game Studios;2018;PlayStation 2
Fall Guys Infinity;MMORPG;Ubisoft;1988;PlayStation
Call of Duty Odyssey;Corrida;Mojang;2006;PlayStation 5
Among Us Origins;Esporte;Santa Monica Studio;1998;Xbox
Fall Guys Infinity;Puzzle;Nintendo;2002;Wii U
Dota 2 Legends;Aventura;Epic Games;2000;PC
Apex Legends Saga;FPS;Bethesda Game Studios;2001;PlayStation 2
Fortnite Origins;Corrida;Supercell;1993;PlayStation 3
Fortnite Odyssey;Esporte;Bethesda Game Studios;2005;PlayStation 2
The Sims Infinity;Esporte;Square Enix;1995;PlayStation
Assassin's Creed Legends;Corrida;Bungie;2021;PlayStation 5
Hollow Knight Origins;Terror;CD Projekt Red;2018;Wii U
The Legend of Zelda Reborn;FPS;FromSoftware;2013;Mobile
Among Us Infinity;Esporte;Mojang;1986;Nintendo Switch
The Witcher Infinity;MMORPG;Santa Monica Studio;1999;Mobile
Hollow Knight Chronicles;Estratégia;Epic Games;1990;Nintendo Switch
Hollow Knight Adventure;Sandbox;Bethesda Game Studios;2003;Xbox Series X
Red Dead Redemption Adventure;Aventura;CD Projekt Red;2009;Wii U
Apex Legends Reborn;Battle Royale;Activision;2013;PlayStation 3
EVE Online Odyssey;Terror;Santa Monica Studio;2002;PlayStation 5
The Sims Origins;RPG;Supercell;1985;Xbox 360
The Witcher Chronicles;RPG;Activision;1996;Nintendo Switch
Overwatch Origins;Aventura;Santa Monica Studio;2014;Xbox 360
The Sims Chronicles;Terror;Rockstar Games;1995;Xbox Series X
The Sims Reborn;Esporte;Valve;2009;Xbox
The Legend of Zelda Reborn;MMORPG;Supercell;2002;Xbox
Stardew Valley Odyssey;Estratégia;Nintendo;1991;Nintendo Switch
Overwatch Infinity;MMORPG;Blizzard Entertainment;2014;Xbox
Diablo Origins;MMORPG;Valve;2004;PC
Valorant Infinity;Battle Royale;Mojang;2005;PlayStation 3
League of Legends Chronicles;Esporte;Mojang;2002;Xbox 360
Elden Ring Saga;Sandbox;FromSoftware;2008;PC
God of War Odyssey;Ação;Bungie;2002;Xbox
God of War Saga;RPG;Epic Games;2013;Mobile
Call of Duty Origins;Puzzle;Nintendo;1989;PlayStation 3
Red Dead Redemption Infinity;Aventura;FromSoftware;1987;PlayStation 3
Assassin's Creed Odyssey;Estratégia;Ubisoft;2014;PlayStation 5
The Witcher Chronicles;MMORPG;Bungie;2004;Xbox 360
Hollow Knight Legends;Battle Royale;Santa Monica Studio;2016;PlayStation 2
Hollow Knight Infinity;MMORPG;Bungie;2013;Wii U
Among Us Origins;Estratégia;Mojang;2011;PlayStation 3
The Legend of Zelda Infinity;Sandbox;Blizzard Entertainment;2004;Mobile
The Sims Origins;Estratégia;Epic Games;2005;Xbox
Overwatch Legends;Estratégia;Activision;2014;PC
Cyberpunk Odyssey;Ação;FromSoftware;1995;PlayStation 3
Minecraft Legends;Puzzle;Nintendo;1990;PlayStation 2
Diablo Reborn;FPS;Bethesda Game Studios;1988;Nintendo Switch
The Witcher Legends;FPS;CD Projekt Red;1986;PlayStation 3
Call of Duty Saga;Puzzle;Valve;2023;PlayStation 5
Diablo Infinity;RPG;Nintendo;2005;PlayStation 5
Hollow Knight Saga;Ação;Nintendo;2020;Nintendo Switch
Fortnite Saga;Corrida;Activision;1989;Xbox 360
Elden Ring Chronicles;Aventura;Valve;1999;PlayStation
Minecraft Adventure;Simulação;Bungie;1994;PlayStation
Cyberpunk Adventure;Esporte;Bethesda Game Studios;1994;PlayStation 3
The Sims Chronicles;Simulação;Activision;2012;Mobile
Dota 2 Origins;FPS;Ubisoft;2018;Nintendo Switch
Fall Guys Infinity;Esporte;Mojang;1990;Xbox
Hades Chronicles;FPS;CD Projekt Red;2011;PlayStation 2
Stardew Valley Legends;Esporte;Santa Monica Studio;2000;PC
Elden Ring Reborn;Simulação;Valve;2014;Mobile
The Sims Odyssey;Esporte;Blizzard Entertainment;1985;Xbox
EVE Online Odyssey;Estratégia;Mojang;2000;Wii U
PUBG Origins;Aventura;Activision;2009;Xbox
Call of Duty Chronicles;Terror;Bethesda Game Studios;2019;Mobile
Diablo Reborn;Terror;Nintendo;2013;PlayStation 3
EVE Online Reborn;FPS;Nintendo;2021;PlayStation 5
Hades Saga;Esporte;Bethesda Game Studios;2014;PC
Call of Duty Infinity;Puzzle;Bethesda Game Studios;2011;Xbox
EVE Online Origins;FPS;Bethesda Game Studios;1989;Xbox 360
Elden Ring Adventure;Puzzle;Ubisoft;2013;Xbox
Hades Infinity;Esporte;Mojang;2015;PlayStation 3
Stardew Valley Chronicles;Esporte;Activision;2021;PlayStation 2
Overwatch Origins;Battle Royale;Ubisoft;2015;PC
God of War Saga;Puzzle;Nintendo;2002;Mobile
Stardew Valley Odyssey;Esporte;FromSoftware;2012;Mobile
God of War Origins;Simulação;Square Enix;1992;Xbox 360
EVE Online Odyssey;Esporte;Supercell;1993;Xbox 360
The Witcher Adventure;MMORPG;Mojang;1998;PlayStation
Fall Guys Legends;Ação;CD Projekt Red;2000;Xbox Series X
The Witcher Adventure;RPG;Rockstar Games;2019;Xbox 360
Valorant Reborn;Estratégia;Santa Monica Studio;1989;Wii U
Grand Theft Auto Reborn;Puzzle;Nintendo;2019;PlayStation
Stardew Valley Legends;RPG;Valve;2004;PlayStation 3
EVE Online Origins;Aventura;Ubisoft;1987;PlayStation 3
Stardew Valley Infinity;Sandbox;Ubisoft;2008;PlayStation
Grand Theft Auto Odyssey;Simulação;CD Projekt Red;2023;Nintendo Switch
Assassin's Creed Chronicles;Puzzle;FromSoftware;1988;PC
Cyberpunk Infinity;Esporte;Bethesda Game Studios;2010;Xbox 360
The Witcher Saga;FPS;Mojang;2016;Xbox 360
The Witcher Origins;Simulação;Supercell;2010;Nintendo Switch
Valorant Adventure;Puzzle;Valve;2008;PlayStation
Overwatch Saga;RPG;Supercell;2012;PlayStation
Valorant Adventure;Estratégia;Epic Games;2012;Nintendo Switch
Apex Legends Adventure;Esporte;Bethesda Game Studios;2003;PlayStation 2
Red Dead Redemption Infinity;Esporte;FromSoftware;2000;PlayStation 2
Cyberpunk Infinity;Esporte;Bungie;2021;Wii U
Grand Theft Auto Chronicles;RPG;Ubisoft;2018;Xbox Series X
Elden Ring Origins;Corrida;Blizzard Entertainment;2010;Xbox 360
PUBG Legends;Simulação;Nintendo;1999;Wii U
Assassin's Creed Infinity;MMORPG;CD Projekt Red;2007;Xbox 360
The Witcher Reborn;Sandbox;Nintendo;2009;PlayStation
Diablo Chronicles;Aventura;Nintendo;2016;Mobile
Assassin's Creed Odyssey;Corrida;Bungie;1996;PC
God of War Saga;Ação;Rockstar Games;2015;PlayStation 5
Apex Legends Legends;Corrida;Supercell;1995;Nintendo Switch
God of War Infinity;MMORPG;CD Projekt Red;2020;Wii U
The Witcher Legends;Aventura;Nintendo;1997;PlayStation 3
League of Legends Chronicles;Aventura;Square Enix;2013;PlayStation 2
Hollow Knight Origins;Esporte;Supercell;1998;PC
Hades Legends;Terror;Square Enix;2023;PlayStation 2
Call of Duty Saga;Terror;Bethesda Game Studios;1995;Wii U
Minecraft Adventure;Estratégia;Epic Games;1997;PlayStation 5
Dota 2 Odyssey;Ação;Square Enix;2007;Xbox 360
League of Legends Origins;Ação;Nintendo;2016;Xbox
Stardew Valley Saga;Simulação;Mojang;1990;PlayStation 5
Stardew Valley Odyssey;Puzzle;Bungie;2004;Xbox Series X
Red Dead Redemption Adventure;Puzzle;Mojang;1990;Nintendo Switch
League of Legends Saga;MMORPG;Mojang;2005;PlayStation 5
Call of Duty Reborn;Battle Royale;FromSoftware;1996;PlayStation 2
Minecraft Adventure;Ação;Epic Games;1997;Mobile
Grand Theft Auto Chronicles;Aventura;Blizzard Entertainment;2015;Wii U
The Legend of Zelda Legends;Corrida;Activision;2002;PC
Overwatch Adventure;Ação;Valve;2000;PlayStation 2
Diablo Legends;Puzzle;Mojang;2017;Wii U
PUBG Adventure;Simulação;Bethesda Game Studios;2008;PlayStation 5
League of Legends Chronicles;RPG;FromSoftware;2011;Xbox Series X
Fall Guys Reborn;Sandbox;Bungie;2008;Xbox 360
Valorant Infinity;Puzzle;Activision;2021;Wii U
Hades Legends;Battle Royale;Rockstar Games;2018;PlayStation 3
Valorant Adventure;Corrida;Supercell;1990;Mobile
Among Us Chronicles;FPS;Nintendo;2000;PlayStation 2
Minecraft Reborn;Esporte;Blizzard Entertainment;1995;Xbox 360
Red Dead Redemption Adventure;Aventura;FromSoftware;2011;Xbox 360
The Legend of Zelda Legends;RPG;Supercell;2018;Xbox
God of War Reborn;RPG;Bethesda Game Studios;2000;Xbox
The Sims Adventure;Battle Royale;Bethesda Game Studios;2000;Xbox 360
The Sims Odyssey;Puzzle;Blizzard Entertainment;2022;PlayStation
Diablo Reborn;Battle Royale;Mojang;2018;Xbox 360
Among Us Odyssey;Battle Royale;Santa Monica Studio;2020;Xbox 360
The Witcher Adventure;FPS;Rockstar Games;2000;Xbox 360
The Legend of Zelda Chronicles;MMORPG;CD Projekt Red;2020;Wii U
Dota 2 Chronicles;Ação;Rockstar Games;1995;Nintendo Switch
Call of Duty Origins;Corrida;Bungie;1989;Wii U
The Witcher Adventure;Sandbox;Valve;1986;Wii U
Overwatch Legends;MMORPG;FromSoftware;1995;Xbox Series X
Hollow Knight Reborn;FPS;Epic Games;2010;Xbox Series X
Apex Legends Chronicles;FPS;Bethesda Game Studios;2021;PC
Cyberpunk Infinity;Simulação;CD Projekt Red;1992;PC
Hollow Knight Infinity;Estratégia;Santa Monica Studio;2000;PlayStation 5
Hollow Knight Saga;RPG;Ubisoft;2006;PlayStation 3
The Witcher Chronicles;Corrida;Bungie;1985;PlayStation
Valorant Chronicles;FPS;Ubisoft;2004;PlayStation 5
Grand Theft Auto Adventure;Puzzle;Blizzard Entertainment;2014;Xbox
Among Us Infinity;Simulação;Blizzard Entertainment;2012;PlayStation 3
Call of Duty Reborn;Sandbox;Valve;2022;PlayStation
PUBG Infinity;Corrida;Square Enix;2000;PlayStation 5
Stardew Valley Legends;Simulação;Square Enix;2011;Xbox
PUBG Reborn;MMORPG;FromSoftware;2005;Mobile
The Witcher Chronicles;Simulação;Valve;2008;Xbox 360
Apex Legends Origins;Puzzle;Valve;2023;PlayStation
Minecraft Infinity;FPS;Rockstar Games;2011;PlayStation 3
Apex Legends Chronicles;FPS;Activision;1988;Xbox
Red Dead Redemption Legends;Aventura;FromSoftware;1995;Mobile
Elden Ring Legends;RPG;Santa Monica Studio;1996;Xbox 360
Valorant Infinity;RPG;Nintendo;1997;Xbox
EVE Online Saga;Sandbox;Ubisoft;2005;PlayStation 2
Valorant Legends;Terror;Square Enix;2004;PlayStation
Call of Duty Infinity;Battle Royale;Bethesda Game Studios;2002;PlayStation 5
Hollow Knight Origins;Ação;Activision;2018;Xbox 360
Minecraft Saga;Puzzle;Blizzard Entertainment;2020;PC
League of Legends Chronicles;Aventura;Bungie;2017;PC
God of War Infinity;Terror;CD Projekt Red;2016;Xbox 360
Elden Ring Odyssey;Battle Royale;Rockstar Games;2023;Mobile
Diablo Adventure;Sandbox;Blizzard Entertainment;1989;Mobile
Valorant Odyssey;Simulação;Mojang;1990;PlayStation 3
Stardew Valley Origins;Corrida;Bungie;2020;Nintendo Switch
Dota 2 Adventure;Simulação;Blizzard Entertainment;1985;Mobile
Cyberpunk Chronicles;Esporte;Nintendo;2021;Nintendo Switch
The Sims Odyssey;Aventura;Blizzard Entertainment;1991;Mobile
Dota 2 Legends;Esporte;Nintendo;1986;PC
Dota 2 Origins;Esporte;Ubisoft;1995;PlayStation 5
Assassin's Creed Infinity;Battle Royale;Rockstar Games;2020;Nintendo Switch
Fall Guys Origins;Puzzle;Valve;1995;Xbox Series X
Hades Origins;Esporte;Square Enix;2008;Nintendo Switch
Minecraft Origins;Puzzle;Rockstar Games;2014;PC
The Sims Legends;Aventura;Square Enix;2019;Nintendo Switch
Dota 2 Reborn;Estratégia;Ubisoft;2019;Wii U
Fortnite Chronicles;Sandbox;Rockstar Games;2017;PlayStation 2
Fall Guys Chronicles;RPG;Rockstar Games;2023;PlayStation 2
Grand Theft Auto Odyssey;Ação;CD Projekt Red;2007;Mobile
Fortnite Saga;Esporte;Ubisoft;2004;Xbox Series X
The Legend of Zelda Legends;RPG;Santa Monica Studio;2013;Xbox Series X
EVE Online Saga;Aventura;Santa Monica Studio;2006;Mobile
Hades Chronicles;Ação;Blizzard Entertainment;2008;PC
Minecraft Chronicles;Corrida;Epic Games;1988;Xbox Series X
Minecraft Adventure;Battle Royale;Epic Games;1998;PC
Apex Legends Chronicles;Sandbox;Square Enix;2003;Xbox 360
Hades Saga;RPG;Valve;2006;PlayStation
Hollow Knight Origins;Terror;Activision;2008;Mobile
Hades Adventure;Esporte;Valve;2003;Wii U
Stardew Valley Adventure;Aventura;Santa Monica Studio;2006;Xbox 360
Hades Chronicles;Ação;FromSoftware;1987;Xbox 360
Diablo Chronicles;MMORPG;Bungie;1993;PlayStation 2
The Legend of Zelda Adventure;RPG;Blizzard Entertainment;2003;PlayStation 2
Assassin's Creed Chronicles;Ação;Supercell;1988;Xbox 360
Minecraft Reborn;Terror;Bethesda Game Studios;1998;Mobile
Hades Chronicles;Estratégia;Mojang;1985;Xbox 360
Elden Ring Adventure;Corrida;Bungie;2005;Mobile
PUBG Adventure;Ação;Valve;1998;PlayStation 3
Elden Ring Reborn;Battle Royale;Epic Games;2012;Mobile
Red Dead Redemption Origins;Sandbox;Supercell;1995;Xbox 360
Overwatch Origins;Sandbox;Epic Games;1985;Wii U
EVE Online Saga;Esporte;Bungie;2018;Mobile
Assassin's Creed Legends;Simulação;CD Projekt Red;2016;Xbox
Cyberpunk Origins;Aventura;Epic Games;1989;Mobile
God of War Reborn;Aventura;Nintendo;1987;Wii U
Hades Infinity;FPS;Nintendo;2019;PlayStation 5
Assassin's Creed Origins;Estratégia;Bungie;1994;PlayStation 5
God of War Origins;Esporte;Rockstar Games;1990;Xbox Series X
The Sims Saga;RPG;Epic Games;2002;PlayStation 2
EVE Online Chronicles;Simulação;Blizzard Entertainment;2014;Xbox Series X
PUBG Reborn;Corrida;CD Projekt Red;2019;Xbox 360
The Legend of Zelda Odyssey;Simulação;Nintendo;1995;Wii U
God of War Infinity;Estratégia;Santa Monica Studio;2004;Nintendo Switch
Hades Saga;Aventura;Activision;2016;Xbox Series X
Red Dead Redemption Adventure;MMORPG;Square Enix;1986;Xbox
Grand Theft Auto Legends;Terror;FromSoftware;1989;Xbox Series X
EVE Online Origins;Simulação;Supercell;2016;PlayStation 5
Apex Legends Legends;RPG;FromSoftware;1994;PlayStation 5
God of War Chronicles;Corrida;Bungie;2015;Xbox Series X
Assassin's Creed Reborn;RPG;Santa Monica Studio;2021;Wii U
Assassin's Creed Infinity;Sandbox;Mojang;1992;Xbox 360
Hades Saga;RPG;CD Projekt Red;2008;PlayStation
League of Legends Infinity;Puzzle;Blizzard Entertainment;2000;Xbox Series X
Red Dead Redemption Origins;FPS;Santa Monica Studio;1999;Mobile
Minecraft Origins;Simulação;Ubisoft;2020;Xbox Series X
PUBG Reborn;Sandbox;Valve;2008;PlayStation 2
Overwatch Reborn;Ação;Activision;2002;Mobile
League of Legends Infinity;Puzzle;CD Projekt Red;2020;Mobile
EVE Online Odyssey;Terror;Epic Games;2021;Nintendo Switch
Elden Ring Saga;Battle Royale;Bungie;2012;PlayStation 3
Assassin's Creed Infinity;Sandbox;Santa Monica Studio;2016;PC
Among Us Saga;Battle Royale;CD Projekt Red;2002;PlayStation 3
The Legend of Zelda Legends;Battle Royale;Activision;1986;PC
Cyberpunk Reborn;Battle Royale;Valve;2018;PlayStation 2
Red Dead Redemption Chronicles;Terror;Epic Games;2007;Wii U
EVE Online Chronicles;FPS;Square Enix;2012;Xbox 360
The Witcher Saga;Aventura;Bethesda Game Studios;2021;Wii U
Red Dead Redemption Reborn;Estratégia;Nintendo;1994;PC
Overwatch Chronicles;Puzzle;Nintendo;2011;Xbox 360
Grand Theft Auto Infinity;Ação;Blizzard Entertainment;2009;Xbox
Hades Odyssey;RPG;Santa Monica Studio;1989;Xbox 360
Grand Theft Auto Origins;Simulação;Valve;2015;Xbox
EVE Online Infinity;Corrida;Square Enix;2021;Xbox Series X
Cyberpunk Saga;MMORPG;FromSoftware;1988;PC
The Legend of Zelda Adventure;MMORPG;Rockstar Games;1991;PlayStation
Among Us Legends;Puzzle;Epic Games;1988;Wii U
The Legend of Zelda Odyssey;Ação;Epic Games;1993;Xbox 360
Hades Adventure;Ação;Supercell;1988;PlayStation
Fall Guys Odyssey;Simulação;Activision;2011;Xbox
Among Us Origins;Battle Royale;Square Enix;2023;Xbox
Red Dead Redemption Saga;MMORPG;Supercell;1986;PlayStation 3
The Sims Origins;Corrida;Supercell;2018;PC
Overwatch Odyssey;Corrida;Valve;2005;Mobile
Grand Theft Auto Reborn;Esporte;Valve;2021;Wii U
The Legend of Zelda Odyssey;Terror;Nintendo;1992;PlayStation
PUBG Infinity;RPG;Nintendo;1985;Xbox 360
Minecraft Saga;Simulação;Santa Monica Studio;2018;PC
League of Legends Adventure;Puzzle;Supercell;2019;Wii U
Fortnite Chronicles;Sandbox;Santa Monica Studio;2012;PlayStation 5
God of War Odyssey;Sandbox;Bethesda Game Studios;1988;PlayStation 3
Apex Legends Saga;Puzzle;CD Projekt Red;1990;PlayStation 5
The Witcher Adventure;MMORPG;Bungie;2022;PC
Assassin's Creed Origins;FPS;Square Enix;2005;Xbox 360
The Sims Adventure;Sandbox;Blizzard Entertainment;2016;Nintendo Switch
Minecraft Reborn;Terror;Santa Monica Studio;1993;Xbox Series X
Elden Ring Adventure;Simulação;FromSoftware;2007;Mobile
Dota 2 Origins;Ação;Mojang;1990;PlayStation 2
Apex Legends Reborn;Battle Royale;Blizzard Entertainment;1996;Xbox
EVE Online Legends;FPS;FromSoftware;2019;PlayStation 3
League of Legends Legends;Esporte;Valve;2005;Mobile
Assassin's Creed Saga;Aventura;Santa Monica Studio;2020;Xbox 360
Apex Legends Reborn;FPS;FromSoftware;2001;PlayStation 2
Cyberpunk Chronicles;Puzzle;Bethesda Game Studios;2022;PlayStation 3
PUBG Adventure;RPG;Ubisoft;2012;PlayStation 3
Elden Ring Odyssey;FPS;Valve;1985;Nintendo Switch
Overwatch Legends;FPS;Epic Games;2010;Xbox 360
Stardew Valley Infinity;FPS;Supercell;1991;Wii U
Overwatch Odyssey;Estratégia;Rockstar Games;2006;PlayStation 3
Grand Theft Auto Chronicles;Puzzle;Epic Games;2014;PlayStation 2
Fall Guys Chronicles;Estratégia;Santa Monica Studio;2002;Xbox
